id	name	pvalue	logFC
XLOC_000012	Gm6085	0.832287984	0.012809622
XLOC_000013	-	0.07249065	-0.464456773
XLOC_000014	Gm2053	0.459727078	0.142465227
XLOC_000015	-	0.526438289	-0.183629887
XLOC_000016	-	0.315072289	-0.119757965
XLOC_000017	-	0.225775591	0.22305845
XLOC_000018	-	0.178922471	0.51546451
XLOC_000019	-	0.785057387	0.091641266
XLOC_000020	-	0.4038886	0.36020665
XLOC_000021	-	0.825845295	-0.141237692
XLOC_000022	Gm6123,Mrpl15	0.000291532	1.621534145
XLOC_000023	Gm37988,Lypla1,Tcea1	0.868321976	0.048325383
XLOC_000026	Atp6v1h	0.250506616	-0.326931187
XLOC_000030	Rb1cc1	0.164462113	-0.825434156
XLOC_000040	Pcmtd1	0.01422615	-0.899707362
XLOC_000041	Gm38372	0.485859013	-0.040477578
XLOC_000055	Rrs1	0.253387215	0.236683642
XLOC_000059	1700034P13Rik	0.014454631	-0.274252456
XLOC_000060	Sgk3	0.157811224	-0.434646792
XLOC_000061	Mcmdc2	0.001404067	1.38250341
XLOC_000064	Cspp1	0.058010975	1.035828945
XLOC_000065	Arfgef1,Gm26348	0.393730648	0.13018311
XLOC_000066	Gm26348	0.172557716	-0.540644444
XLOC_000086	-	0.073834082	-0.79351224
XLOC_000087	Gm27881	0.244333493	-0.052441906
XLOC_000090	Tram1	0.005420724	-0.350536906
XLOC_000091	Lactb2	0.019850886	0.408257378
XLOC_000092	Gm38319	0.182018842	0.643984503
XLOC_000098	Smt3h2-ps4	0.017771424	1.982727583
XLOC_000105	Terf1	0.391002219	-0.211488111
XLOC_000109	Rpl7	0.210862174	0.245350563
XLOC_000113	Stau2	0.291101061	0.237389764
XLOC_000114	Stau2	0.974576646	0.112256406
XLOC_000115	Gm38342,Ube2w	0.2077646	0.280741259
XLOC_000116	Tceb1	0.19888637	0.231488719
XLOC_000118	Tmem70	0.231876129	-0.3017869
XLOC_000144	Mcm3	0.000137841	2.529754434
XLOC_000147	Paqr8	0.182732839	-0.143899395
XLOC_000150	-	0.350543061	-0.319954886
XLOC_000151	Tram2	0.064739693	-1.132707372
XLOC_000156	Gsta3	0.310187075	-0.214812361
XLOC_000158	Gm4956	0.035934357	-2.118552727
XLOC_000160	-	0.328065837	-0.912908071
XLOC_000161	-	0.211999262	-0.586616235
XLOC_000170	-	0.138970647	0.496101871
XLOC_000171	Kcnq5	0.005760061	2.925692455
XLOC_000172	Gm36949	0.150378926	0.401048376
XLOC_000173	Gm36949	0.212768656	1.174837372
XLOC_000174	Gm26580	0.000790166	1.487339705
XLOC_000183	B3gat2	0.700522722	-0.040354408
XLOC_000184	Gm26524	0.735309811	0.070499371
XLOC_000188	Gm28439	0.549659851	0.130942208
XLOC_000199	Gm7846	0.788779705	0.086664218
XLOC_000208	Phf3	0.050647178	-0.325532503
XLOC_000209	Ptp4a1	0.000146335	-1.463628751
XLOC_000235	1700001G17Rik	0.655849357	0.01101464
XLOC_000238	Rab23	0.779164208	0.167424147
XLOC_000239	Gm37905	0.023652529	1.750380849
XLOC_000240	-	0.220068108	-0.39473685
XLOC_000241	Zfp451	0.436329214	0.126481174
XLOC_000242	Dst	0.924454328	-0.009209563
XLOC_000249	Gm37233	0.171761735	0.232452331
XLOC_000250	Imp4	0.035361232	0.252673424
XLOC_000251	Ptpn18	0.424690687	-0.497868922
XLOC_000255	Arhgef4,Gm37127	0.004717535	-0.428629626
XLOC_000258	Plekhb2	0.317179824	0.150239265
XLOC_000267	Hs6st1	0.008524588	0.192842805
XLOC_000268	-	0.229712304	-0.696192725
XLOC_000269	Gm33280	0.009146456	-0.213911503
XLOC_000270	Neurl3	0.01224692	-1.135132082
XLOC_000271	-	0.07565891	-1.242861942
XLOC_000272	Arid5a	0.083880606	-0.846141702
XLOC_000273	4930403P22Rik	0.281989326	0.612905345
XLOC_000274	Kansl3	0.430062448	0.16209343
XLOC_000275	Fer1l5	0.093364974	0.27634265
XLOC_000276	AC084391.1,Cnnm4	0.194700213	-0.17382134
XLOC_000278	Cnnm3	0.30392164	-0.432157676
XLOC_000279	Ankrd23,Ankrd39	0.279982214	-0.218373522
XLOC_000280	D430040D24Rik,Sema4c	0.02748391	1.37384256
XLOC_000283	Cox5b	0.352021539	0.68585904
XLOC_000284	Actr1b	0.634508745	-0.064298081
