id	name	pvalue	logFC	qvalue
XLOC_000012	Gm6085	0.832287984	0.012809622	0.889904125
XLOC_000013	-	0.07249065	-0.464456773	0.230206557
XLOC_000014	Gm2053	0.459727078	0.142465227	0.607959546
XLOC_000015	-	0.526438289	-0.183629887	0.660966635
XLOC_000016	-	0.315072289	-0.119757965	0.511309735
XLOC_000017	-	0.225775591	0.22305845	0.425795651
XLOC_000018	-	0.178922471	0.51546451	0.38260041
XLOC_000019	-	0.785057387	0.091641266	0.8575207
XLOC_000020	-	0.4038886	0.36020665	0.562664011
XLOC_000021	-	0.825845295	-0.141237692	0.885281578
XLOC_000022	Gm6123,Mrpl15	0.000291532	1.621534145	0.020284139
XLOC_000023	Gm37988,Lypla1,Tcea1	0.868321976	0.048325383	0.915287555
XLOC_000026	Atp6v1h	0.250506616	-0.326931187	0.450702136
XLOC_000030	Rb1cc1	0.164462113	-0.825434156	0.363953952
XLOC_000040	Pcmtd1	0.01422615	-0.899707362	0.091262625
XLOC_000041	Gm38372	0.485859013	-0.040477578	0.628250507
XLOC_000055	Rrs1	0.253387215	0.236683642	0.45383648
XLOC_000059	1700034P13Rik	0.014454631	-0.274252456	0.092035075
XLOC_000060	Sgk3	0.157811224	-0.434646792	0.355215572
XLOC_000061	Mcmdc2	0.001404067	1.38250341	0.030823629
XLOC_000064	Cspp1	0.058010975	1.035828945	0.203585978
XLOC_000065	Arfgef1,Gm26348	0.393730648	0.13018311	0.553584066
XLOC_000066	Gm26348	0.172557716	-0.540644444	0.37446265
XLOC_000086	-	0.073834082	-0.79351224	0.232305721
XLOC_000087	Gm27881	0.244333493	-0.052441906	0.443891706
XLOC_000090	Tram1	0.005420724	-0.350536906	0.055358521
XLOC_000091	Lactb2	0.019850886	0.408257378	0.109900389
XLOC_000092	Gm38319	0.182018842	0.643984503	0.385519719
XLOC_000098	Smt3h2-ps4	0.017771424	1.982727583	0.103012949
XLOC_000105	Terf1	0.391002219	-0.211488111	0.551169243
XLOC_000109	Rpl7	0.210862174	0.245350563	0.410480453
